# 1 x                          2 y                    3 number IS              4 number viruses               5 viral fitness            6 number IS update
         1926.00000        -1992.00000              16609                  0            0.00000                -12
         2068.00000        -1987.00000              34644                  0            0.00000                -26
         1701.00000        -1933.00000                283                  0            0.00000                 -1
         2105.00000        -1984.00000               7498                  0            0.00000                 -1
         2094.00000        -1992.00000               1477                  0            0.00000                 -1
         2017.00000        -2002.00000              60245                  0            0.00000                -24
         2030.00000        -1992.00000               2048                  0            0.00000                 -1
         1868.00000        -1983.00000               2585                  0            0.00000                 -1
         1982.00000        -1993.00000               7290                  0            0.00000                 -2
         2024.00000        -1996.00000               8639                  0            0.00000                 -4
         1970.00000        -2006.00000               4746                  0            0.00000                 -3
         2066.00000        -1985.00000              42395                  0            0.00000                -30
         1805.00000        -1965.00000                774                  0            0.00000                 -2
         2007.00000        -2000.00000              30319                  0            0.00000                -12
         1794.00000        -1960.00000               2440                  0            0.00000                 -1
         1884.00000        -1978.00000               5888                  0            0.00000                 -2
         1906.00000        -1979.00000               3448                  0            0.00000                 -2
         1984.00000        -2008.00000               3000                  0            0.00000                 -1
         2016.00000        -1996.00000               8513                  0            0.00000                 -4
         2032.00000        -1989.00000               5688                  0            0.00000                 -2
         1871.00000        -1979.00000              12702                  0            0.00000                 -6
         2053.00000        -1992.00000               8011                  0            0.00000                 -4
         1742.00000        -1945.00000               1522                  0            0.00000                 -1
         1956.00000        -1987.00000              10754                  0            0.00000                 -6
         1872.00000        -1969.00000               5567                  0            0.00000                 -3
         2101.00000        -1978.00000              12652                  0            0.00000                -12
         1874.00000        -1981.00000              25506                  0            0.00000                -15
         2017.00000        -2009.00000               1442                  0            0.00000                 -1
         1978.00000        -1992.00000               3342                  0            0.00000                 -2
         1696.00000        -1929.00000                222                  0            0.00000                 -1
         2055.00000        -2003.00000              10059                  0            0.00000                 -7
         1997.00000        -2000.00000              18904                  0            0.00000                 -4
         2009.00000        -2008.00000               4188                  0            0.00000                 -6
         2041.00000        -1997.00000              11627                  0            0.00000                 -6
         1891.00000        -1981.00000               4441                  0            0.00000                 -5
         2064.00000        -1988.00000             228562                  0            0.00000               -112
         1720.00000        -1940.00000               1918                  0            0.00000                 -2
         1661.00000        -1925.00000               2198                  0            0.00000                 -3
         2043.00000        -2010.00000                751                  0            0.00000                 -3
         1745.00000        -1942.00000               1224                  0            0.00000                 -1
         1872.00000        -1980.00000               8697                  0            0.00000                 -5
         2089.00000        -2002.00000               1287                  0            0.00000                 -1
         1719.00000        -1939.00000               2922                  0            0.00000                 -6
         1758.00000        -1955.00000                478                  0            0.00000                 -1
         1983.00000        -2013.00000               2713                  0            0.00000                 -2
         2055.00000        -1992.00000               3852                  0            0.00000                 -2
         1171.00000        -1476.00000                  2                  0            0.00000                 -1
         1708.00000        -1930.00000               2199                  0            0.00000                 -1
