# 1 x                          2 y                    3 number IS              4 number viruses               5 viral fitness
         2110.00000        -1975.00000              41260                 33           -0.07321
         2113.00000        -1986.00000               6560                  8           -0.06254
         2125.00000        -1981.00000                263                 48            0.04685
         2123.00000        -1976.00000                 58                  9            0.03615
         2112.00000        -1977.00000              26397                 27           -0.06293
         2113.00000        -1973.00000              12668                  7           -0.04166
         2127.00000        -1977.00000                235                 24            0.06933
         2123.00000        -1974.00000                  5                  2            0.04053
         2117.00000        -1988.00000               2803                  2           -0.02532
         2116.00000        -1982.00000             116445                641           -0.03652
         2127.00000        -1979.00000                 89                 14            0.06659
         2115.00000        -1983.00000             128446                310           -0.04596
         2117.00000        -1986.00000              10110                113           -0.02702
         2122.00000        -1975.00000                 80                 19            0.02951
         2119.00000        -1981.00000             119524               1615           -0.00802
         2118.00000        -1977.00000              12787                137           -0.01055
         2121.00000        -1989.00000                 63                  1            0.01127
         2125.00000        -1978.00000                448                 56            0.05033
         2114.00000        -1989.00000                146                  4           -0.05065
         2121.00000        -1972.00000                 55                  9            0.02869
         2111.00000        -1989.00000               1613                 26           -0.07633
         2120.00000        -1985.00000               8852                174           -0.00010
         2118.00000        -1983.00000              48476                596           -0.01852
         2116.00000        -1989.00000                832                  7           -0.03312
         2123.00000        -1984.00000                319                 26            0.02725
         2123.00000        -1983.00000               6284                267            0.02755
         2120.00000        -1980.00000              23415                448            0.00235
         2125.00000        -1982.00000                156                  2            0.04611
         2124.00000        -1983.00000               9239                478            0.03661
         2116.00000        -1971.00000                269                 17           -0.00991
         2125.00000        -1983.00000                231                 40            0.04559
         2118.00000        -1974.00000               2906                 87           -0.00275
         2120.00000        -1984.00000               7608                244           -0.00019
         2112.00000        -1979.00000              34434                 91           -0.06772
         2115.00000        -1975.00000              15810                 88           -0.03155
         2115.00000        -1981.00000             327157                806           -0.04475
         2114.00000        -1986.00000              18469                 34           -0.05380
         2118.00000        -1982.00000              73409                856           -0.01809
         2123.00000        -1980.00000               1014                 57            0.02981
         2122.00000        -1976.00000                287                 18            0.02732
         2110.00000        -1980.00000              44322                 12           -0.08634
         2116.00000        -1981.00000             290014               1148           -0.03570
         2116.00000        -1977.00000              14414                153           -0.02836
         2126.00000        -1979.00000                 17                  4            0.05781
         2109.00000        -1972.00000               4665                 30           -0.06959
         2117.00000        -1974.00000                994                  6           -0.01137
         2119.00000        -1971.00000                 48                  2            0.01494
         2117.00000        -1978.00000              33603                284           -0.02174
         2118.00000        -1987.00000               1707                 47           -0.01726
         2115.00000        -1982.00000              98733                265           -0.04558
         2114.00000        -1970.00000                183                  6           -0.02239
         2112.00000        -1982.00000             107844                 41           -0.07183
         2113.00000        -1974.00000               5088                 14           -0.04523
         2116.00000        -1988.00000               2159                 40           -0.03422
         2118.00000        -1975.00000               1340                 31           -0.00555
         2111.00000        -1979.00000              55329                 16           -0.07617
         2122.00000        -1979.00000               4782                103            0.02201
         2111.00000        -1982.00000             275836                 29           -0.08026
         2110.00000        -1977.00000              44081                 14           -0.07961
         2111.00000        -1972.00000               8006                 15           -0.05399
         2119.00000        -1974.00000                456                 28            0.00589
         2120.00000        -1972.00000               1063                 57            0.02026
         2117.00000        -1971.00000               4839                107           -0.00160
